customer_id,gender,age,partner,number_of_dependents,married,online_security,online_backup,device_protection,premium_tech_support,streaming_tv,streaming_movies,streaming_music,internet_type
0002-ORFBO,Female,37,Yes,0,Yes,No,Yes,No,Yes,Yes,No,No,cable
0003-MKNFE,m,46,No,0,No,No,No,No,No,No,Yes,Yes,cable
0004-TLHLJ,Male,50,No,0,NA,No,No,Yes,No,No,No,No,Fiber
0011-IGKFF,Male,78,Yes,0,Yes,No,Yes,Yes,No,Yes,Yes,No,Fiber
0013-EXCHZ,Female,75,Yes,0,Yes,No,No,No,Yes,Yes,No,No,Fiber Optic
0013-MHZWF,female,23,No,3,No,No,No,No,Yes,Yes,Yes,Yes,cable
0013-SMEOE,f,67,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Optic
0014-BMAQU,m,52,Yes,0,Yes,Yes,No,No,Yes,No,No,No,Fiber Optic
0015-UOCOJ,female,68,No,0,No,Yes,No,No,No,No,No,No,DSL
0016-QLJIS,female,43,Yes,1,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cable
0017-DINOC,Male,47,NA,0,No,Yes,No,No,Yes,Yes,No,No,cable
0017-IUDMW,female,25,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Optic
0018-NYROU,f,58,Yes,0,Yes,No,No,No,No,No,No,No,Optic
0019-EFAEP,female,32,No,0,NA,Yes,Yes,Yes,No,Yes,No,No,Fiber Optic
0019-GFNTW,Female,39,No,0,No,Yes,Yes,Yes,Yes,No,No,No,DSL 
0020-INWCK,F,58,Yes,2,NA,No,Yes,Yes,No,No,Yes,Yes,Fiber Optic
0020-JDNXP,female,52,Yes,1,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,DSL 
0021-IKXGC,F,72,No,0,No,No,No,No,No,No,No,No,Fiber Optic
0022-TCJCI,m,79,NA,0,No,Yes,No,Yes,No,No,Yes,No,DSL 
0023-HGHWL,Male,67,No,0,No,No,No,No,No,No,No,No,cable
0023-UYUPN,female,79,Yes,0,Yes,No,No,No,No,No,No,No,None
0023-XUOPT,F,26,Yes,0,Yes,No,Yes,Yes,No,Yes,No,No,Fiber
0027-KWYKW,f,30,Yes,2,NA,No,No,No,No,Yes,No,No,Optic
0030-FNXPP,f,22,No,0,NA,No,No,No,No,No,No,No,None
0031-PVLZI,F,34,Yes,0,Yes,No,No,No,No,No,No,No,None
0032-PGELS,f,37,Yes,1,Yes,Yes,No,No,No,No,No,No,DSL
0036-IHMOT,f,37,Yes,3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic
0040-HALCW,male,42,Yes,3,Yes,No,No,No,No,No,No,No,None
0042-JVWOJ,male,64,No,0,No,No,No,No,No,No,No,No,None
0042-RLHYP,F,47,Yes,3,Yes,No,No,No,No,No,No,No,None
0048-LUMLS,Male,23,Yes,3,Yes,No,No,No,No,Yes,Yes,Yes,Fiber
0048-PIHNL,F,48,Yes,0,NA,No,No,No,No,No,No,No,None
0052-DCKON,Male,28,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic
0052-YNYOT,female,28,No,0,NA,No,No,No,No,No,No,No,None
0056-EPFBG,M,33,Yes,1,Yes,Yes,No,Yes,Yes,No,No,No,cable
0057-QBUQH,f,31,No,3,No,No,No,No,No,No,No,No,None
0058-EVZWM,f,37,Yes,0,Yes,Yes,No,No,No,Yes,No,No,Fiber Optic
0060-FUALY,F,60,Yes,0,Yes,Yes,Yes,No,No,Yes,No,No,Optic
0064-SUDOG,female,48,Yes,3,Yes,No,No,No,No,No,No,No,None
0064-YIJGF,m,60,Yes,3,NA,No,No,No,No,No,No,No,Optic
0067-DKWBL,m,69,No,0,No,Yes,No,No,No,No,No,No,DSL 
0068-FIGTF,female,20,No,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,DSL 
0071-NDAFP,M,31,Yes,3,Yes,No,No,No,No,No,No,No,None
0074-HDKDG,M,46,Yes,0,Yes,Yes,Yes,Yes,No,No,No,No,cable
0076-LVEPS,male,57,No,1,NA,Yes,Yes,Yes,Yes,No,No,No,DSL
0078-XZMHT,Male,19,Yes,0,NA,No,Yes,Yes,Yes,Yes,Yes,Yes,DSL 
0080-EMYVY,f,64,No,0,No,No,Yes,No,No,No,No,No,cable
0080-OROZO,F,38,No,0,No,No,No,Yes,Yes,Yes,Yes,Yes,Optic
0082-LDZUE,male,54,No,0,NA,No,No,No,No,No,No,No,DSL 
0082-OQIQY,M,50,No,0,No,No,No,No,Yes,Yes,Yes,Yes,Fiber Optic
0083-PIVIK,male,25,No,0,No,Yes,Yes,Yes,Yes,Yes,No,No,DSL
0089-IIQKO,Female,35,Yes,3,Yes,No,No,No,Yes,Yes,Yes,Yes,Fiber Optic
0093-EXYQL,female,72,No,0,No,No,No,No,No,Yes,Yes,No,Optic
0093-XWZFY,m,51,No,0,No,No,Yes,Yes,No,Yes,Yes,Yes,Fiber
0094-OIFMO,F,78,No,1,No,No,Yes,No,No,Yes,Yes,No,Optic
0096-BXERS,female,30,Yes,0,Yes,No,No,No,No,No,No,No,Cable
0096-FCPUF,male,58,No,0,NA,Yes,No,No,No,No,Yes,Yes,DSL
0098-BOWSO,Male,26,No,0,No,No,No,No,No,No,No,No,None
0100-DUVFC,male,66,Yes,0,Yes,No,Yes,Yes,No,Yes,Yes,No,Fiber
0103-CSITQ,f,20,Yes,0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Optic
0104-PPXDV,M,61,Yes,0,Yes,No,No,Yes,No,No,No,No,DSL 
0106-GHRQR,male,24,No,0,No,No,Yes,Yes,No,No,Yes,Yes,DSL
0106-UGRDO,f,55,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber
0107-WESLM,M,32,No,0,No,No,No,No,No,No,No,No,None
0107-YHINA,M,59,No,0,NA,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic
0111-KLBQG,m,71,Yes,1,NA,No,Yes,No,No,Yes,Yes,Yes,Fiber Optic
0112-QAWRZ,M,49,Yes,2,Yes,No,No,Yes,No,Yes,No,No,Fiber
0112-QWPNC,M,61,Yes,0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Cable
0114-IGABW,f,40,Yes,0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Cable
0114-PEGZZ,F,39,No,0,No,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic
0114-RSRRW,F,21,Yes,0,Yes,No,No,No,No,No,No,No,None
0115-TFERT,m,24,Yes,0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic
0117-LFRMW,male,52,Yes,1,Yes,Yes,Yes,Yes,No,No,No,No,DSL
0118-JPNOY,Female,71,No,0,NA,Yes,No,No,No,Yes,No,No,Fiber
0121-SNYRK,male,45,No,0,No,Yes,No,No,Yes,No,No,No,DSL 
0122-OAHPZ,f,29,No,0,No,No,No,No,No,No,No,Yes,Fiber
0123-CRBRT,female,62,Yes,0,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DSL 
0125-LZQXK,M,42,No,0,No,No,No,Yes,Yes,Yes,Yes,Yes,Fiber
0128-MKWSG,Female,51,No,2,No,Yes,No,No,Yes,No,Yes,Yes,DSL
0129-KPTWJ,M,39,Yes,0,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic
0129-QMPDR,M,64,Yes,0,Yes,No,No,No,No,No,No,No,None
0130-SXOUN,Male,55,No,0,No,No,Yes,No,No,No,Yes,Yes,Fiber Optic
0133-BMFZO,f,40,No,0,NA,Yes,Yes,No,Yes,No,No,No,Fiber Optic
0134-XWXCE,f,76,No,0,NA,No,No,Yes,Yes,Yes,Yes,Yes,DSL
0135-NMXAP,Female,57,No,0,No,No,Yes,No,No,Yes,No,No,Optic
0136-IFMYD,m,71,Yes,0,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Fiber
0137-OCGAB,f,25,No,0,No,No,Yes,No,No,No,No,No,Optic
0137-UDEUO,female,24,No,0,No,No,No,No,No,No,No,No,None
0139-IVFJG,F,19,Yes,0,Yes,Yes,Yes,No,No,Yes,No,No,Fiber Optic
0141-YEAYS,Female,77,No,0,No,No,Yes,Yes,No,No,No,No,Fiber Optic
0142-GVYSN,Male,57,No,0,No,No,No,No,No,No,No,No,None
0147-ESWWR,F,73,Yes,0,Yes,No,No,No,Yes,Yes,Yes,Yes,Optic
0148-DCDOS,male,41,No,0,No,No,No,No,No,Yes,Yes,Yes,Optic
0151-ONTOV,f,43,No,0,No,No,No,No,No,No,No,No,Optic
0156-FVPTA,Male,48,Yes,0,Yes,Yes,No,No,Yes,No,No,No,DSL
