customer_id,contract,paperless_billing,payment_method,monthly_ charges,avg_monthly_long_distance_charges,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,unit
0002-ORFBO,One Year,Yes,Mailed check,65.6,42.39,593.3,0,0,381.51,974.81,dollars
0003-MKNFE,Month-to-Month,No,Mailed check,5990,10.69,542.4,38.33,10,96.21,610.28,cents
0004-TLHLJ,Month-to-Month,Yes,Electronic check,7390.000000000001,33.65,280.85,0,0,134.6,415.45,cents
0011-IGKFF,Month-to-Month,Yes,Electronic check,98,27.82,1237.85,0,0,361.66,1599.51,dollars
0013-EXCHZ,Month-to-Month,Yes,Mailed check,83.9,7.38,267.4,0,0,22.14,289.54,dollars
0013-MHZWF,Month-to-Month,Yes,Credit card (automatic),69.4,16.77,571.45,0,0,150.93,722.38,dollars
0013-SMEOE,Two Year,Yes,Bank transfer (automatic),109.7,9.96,7904.25,0,0,707.16,8611.41,dollars
0014-BMAQU,Two Year,Yes,Credit card (automatic),8465,12.96,5377.8,0,20,816.48,6214.28,cents
0015-UOCOJ,Two Year,Yes,Electronic check,4820,10.53,340.35,0,0,73.71,414.06,cents
0016-QLJIS,Two Year,Yes,Mailed check,9045,28.46,5957.9,0,0,1849.9,7807.8,cents
0017-DINOC,Two Year,No,Credit card (automatic),4520,0,2460.55,0,0,0,2460.55,cents
0017-IUDMW,Two Year,Yes,Credit card (automatic),116.8,16.01,8456.75,0,0,1152.72,9609.47,dollars
0018-NYROU,Month-to-Month,Yes,Electronic check,68.95,18.65,351.5,0,0,93.25,444.75,dollars
0019-EFAEP,Two Year,Yes,Bank transfer (automatic),101.3,2.25,7261.25,0,0,162,7423.25,dollars
0019-GFNTW,Two Year,No,Bank transfer (automatic),4505,0,2560.1,0,0,0,2560.1,cents
0020-INWCK,Two Year,Yes,Credit card (automatic),9575,27.26,6849.4,0,0,1935.46,8784.86,cents
0020-JDNXP,One Year,No,Mailed check,61.25,0,1993.2,0,0,0,1993.2,dollars
0021-IKXGC,One Year,Yes,Electronic check,7209.999999999999,7.77,72.1,0,0,7.77,79.87,cents
0022-TCJCI,One Year,No,Credit card (automatic),62.7,10.67,2791.5,0,0,480.15,3271.65,dollars
0023-HGHWL,Month-to-Month,Yes,Electronic check,25.1,0,25.1,0,0,0,25.1,dollars
0023-UYUPN,One Year,No,Electronic check,25.2,31.43,1306.3,0,0,1571.5,2877.8,dollars
0023-XUOPT,Month-to-Month,No,Electronic check,9410,43.56,1215.6,0,0,566.28,1781.88,cents
0027-KWYKW,Month-to-Month,Yes,Electronic check,83.75,34.91,1849.95,0,0,802.93,2652.88,dollars
0030-FNXPP,Month-to-Month,No,Mailed check,19.85,3.12,57.2,0,0,9.36,66.56,dollars
0031-PVLZI,Month-to-Month,No,Mailed check,20.35,12.43,76.35,0,0,49.72,126.07,dollars
0032-PGELS,Month-to-Month,No,Bank transfer (automatic),30.5,0,30.5,0,0,0,30.5,dollars
0036-IHMOT,One Year,Yes,Bank transfer (automatic),103.7,35.04,5656.75,0,20,1927.2,7603.95,dollars
0040-HALCW,Two Year,No,Credit card (automatic),20.4,19.7,1090.6,0,0,1063.8,2154.4,dollars
0042-JVWOJ,One Year,Yes,Bank transfer (automatic),19.6,37.7,471.85,21.25,0,980.2,1430.8,dollars
0042-RLHYP,Two Year,No,Bank transfer (automatic),19.7,38.39,1396.9,0,0,2648.91,4045.81,dollars
0048-LUMLS,One Year,No,Credit card (automatic),91.2,43.01,3247.55,0,0,1591.37,4838.92,dollars
0048-PIHNL,One Year,No,Bank transfer (automatic),20.45,49.58,900.9,0,0,2429.42,3330.32,dollars
0052-DCKON,One Year,No,Bank transfer (automatic),11580,43.77,7942.15,0,0,2888.82,10830.97,cents
0052-YNYOT,One Year,No,Electronic check,20.55,23.12,1343.4,30.53,0,1549.04,2861.91,dollars
0056-EPFBG,Two Year,Yes,Credit card (automatic),3940,0,825.4,0,0,0,825.4,cents
0057-QBUQH,Two Year,Yes,Electronic check,25.1,30.64,1070.15,0,0,1317.52,2387.67,dollars
0058-EVZWM,Month-to-Month,Yes,Bank transfer (automatic),8980,5.08,4959.6,0,0,279.4,5239,cents
0060-FUALY,Month-to-Month,Yes,Electronic check,94.75,16.39,5597.65,0,0,967.01,6564.66,dollars
0064-SUDOG,Two Year,No,Bank transfer (automatic),2030,19.28,224.5,0,0,231.36,455.86,cents
0064-YIJGF,Month-to-Month,Yes,Bank transfer (automatic),75.75,25.26,1929,0,0,682.02,2611.02,dollars
0067-DKWBL,Month-to-Month,Yes,Electronic check,4925,43.99,91.1,0,0,87.98,179.08,cents
0068-FIGTF,One Year,No,Mailed check,78.2,48.91,2078.95,0,0,1320.57,3399.52,dollars
0071-NDAFP,Two Year,No,Credit card (automatic),25.5,23.69,630.6,44.42,0,592.25,1178.43,dollars
0074-HDKDG,One Year,Yes,Bank transfer (automatic),61.6,6.45,1611,44.9,0,161.25,1727.35,dollars
0076-LVEPS,Month-to-Month,Yes,Mailed check,45,0,1242.45,12.26,0,0,1230.19,dollars
0078-XZMHT,Two Year,Yes,Bank transfer (automatic),8515,32.36,6316.2,0,0,2329.92,8646.12,cents
0080-EMYVY,One Year,No,Credit card (automatic),51.45,24.04,727.85,0,0,336.56,1064.41,dollars
0080-OROZO,One Year,Yes,Electronic check,99.25,36.42,3532,0,0,1274.7,4806.7,dollars
0082-LDZUE,Month-to-Month,Yes,Mailed check,44.3,42.95,44.3,0,0,42.95,87.25,dollars
0082-OQIQY,Month-to-Month,Yes,Electronic check,9420,2.05,2607.6,0,20,59.45,2687.05,cents
0083-PIVIK,One Year,No,Electronic check,81.25,5.49,5567.55,0,40,351.36,5958.91,dollars
0089-IIQKO,Month-to-Month,Yes,Credit card (automatic),99.95,24.38,3767.4,0,0,950.82,4718.22,dollars
0093-EXYQL,Two Year,Yes,Electronic check,9155,44.14,3673.6,0,0,1765.6,5439.2,cents
0093-XWZFY,Month-to-Month,Yes,Credit card (automatic),104.5,37.69,4036.85,0,0,1507.6,5544.45,dollars
0094-OIFMO,Month-to-Month,Yes,Electronic check,9500,11.59,1120.3,0,120,127.49,1367.79,cents
0096-BXERS,Month-to-Month,No,Electronic check,5035,42.66,314.55,0,0,255.96,570.51,cents
0096-FCPUF,Month-to-Month,Yes,Mailed check,6450,2.64,1888.45,0,0,79.2,1967.65,cents
0098-BOWSO,Month-to-Month,Yes,Electronic check,19.4,20.66,529.8,0,0,557.82,1087.62,dollars
0100-DUVFC,One Year,Yes,Electronic check,104.8,39.49,7308.95,6.11,0,2764.3,10067.14,dollars
0103-CSITQ,One Year,Yes,Bank transfer (automatic),109.4,8.01,6252.7,0,0,456.57,6709.27,dollars
0104-PPXDV,One Year,No,Credit card (automatic),50.3,18.37,2878.55,10.23,0,1065.46,3933.78,dollars
0106-GHRQR,Month-to-Month,Yes,Bank transfer (automatic),7140.000000000001,25.71,1212.1,0,0,411.36,1623.46,cents
0106-UGRDO,Two Year,Yes,Electronic check,116,38.52,8182.85,0,0,2657.88,10840.73,dollars
0107-WESLM,Month-to-Month,Yes,Electronic check,19.85,31.77,19.85,0,0,31.77,51.62,dollars
0107-YHINA,Month-to-Month,Yes,Electronic check,9975,40.71,99.75,0,0,40.71,140.46,cents
0111-KLBQG,One Year,Yes,Mailed check,93.95,31.86,2861.45,0,0,1019.52,3880.97,dollars
0112-QAWRZ,Month-to-Month,Yes,Bank transfer (automatic),9080,48.71,1442.2,0,0,779.36,2221.56,cents
0112-QWPNC,One Year,No,Electronic check,8435,39.55,4059.35,0,0,1937.95,5997.3,cents
0114-IGABW,Two Year,No,Bank transfer (automatic),58.25,0,4145.9,0,0,0,4145.9,dollars
0114-PEGZZ,Month-to-Month,No,Electronic check,107.55,49.69,3645.5,0,0,1639.77,5285.27,dollars
0114-RSRRW,Month-to-Month,Yes,Bank transfer (automatic),19.95,49.6,187.75,0,0,496,683.75,dollars
0115-TFERT,Month-to-Month,Yes,Electronic check,111.2,36.26,2317.1,0,120,761.46,3198.56,dollars
0117-LFRMW,Month-to-Month,No,Bank transfer (automatic),40.2,0,1448.8,0,0,0,1448.8,dollars
0118-JPNOY,Month-to-Month,Yes,Credit card (automatic),85.8,33.74,2193.65,0,0,877.24,3070.89,dollars
0121-SNYRK,One Year,Yes,Mailed check,35.4,0,1748.9,0,0,0,1748.9,dollars
0122-OAHPZ,Month-to-Month,Yes,Electronic check,73.85,28.62,511.25,13.03,0,200.34,698.56,dollars
0123-CRBRT,Two Year,No,Mailed check,88.1,47.19,5526.75,0,0,2878.59,8405.34,dollars
0125-LZQXK,Month-to-Month,Yes,Electronic check,10135,45.92,1553.95,0,0,688.8,2242.75,cents
0128-MKWSG,Month-to-Month,No,Mailed check,45.8,0,1147,0,0,0,1147,dollars
0129-KPTWJ,Month-to-Month,Yes,Electronic check,94.65,33.22,6747.35,0,0,2391.84,9139.19,dollars
0129-QMPDR,One Year,Yes,Bank transfer (automatic),20.5,27.4,865.05,0,0,1205.6,2070.65,dollars
0130-SXOUN,Month-to-Month,No,Credit card (automatic),89.4,48.78,5976.9,36.02,40,3219.48,9200.36,dollars
