customer_id,tenure,internet_service,phone_service,multiple_lines,avg_monthly_gb_download,unlimited_data,offer,referred_a_friend,number_of_referrals
0002-ORFBO,9,Yes,Yes,No,16,Yes,None,Yes,2
0003-MKNFE,9,Yes,Yes,Yes,10,No,None,No,0
0004-TLHLJ,4,Yes,Yes,No,30,Yes,Offer E,No,0
0011-IGKFF,13,Yes,Yes,No,4,Yes,Offer D,Yes,1
0013-EXCHZ,3,Yes,Yes,No,11,Yes,None,Yes,3
0013-MHZWF,9,Yes,Yes,No,73,Yes,Offer E,No,0
0013-SMEOE,71,Yes,Yes,No,14,Yes,Offer A,Yes,1
0014-BMAQU,63,Yes,Yes,Yes,7,No,Offer B,Yes,8
0015-UOCOJ,7,Yes,Yes,No,21,Yes,Offer E,No,0
0016-QLJIS,65,Yes,Yes,Yes,14,Yes,None,Yes,3
0017-DINOC,54,Yes,No,No,10,Yes,None,No,0
0017-IUDMW,72,Yes,Yes,Yes,59,Yes,None,Yes,2
0018-NYROU,5,Yes,Yes,No,10,Yes,None,No,0
0019-EFAEP,72,Yes,Yes,Yes,16,Yes,Offer A,No,0
0019-GFNTW,56,Yes,No,No,19,Yes,None,No,0
0020-INWCK,71,Yes,Yes,Yes,12,Yes,Offer A,Yes,9
0020-JDNXP,34,Yes,No,No,20,Yes,None,No,0
0021-IKXGC,1,Yes,Yes,Yes,22,Yes,Offer E,No,0
0022-TCJCI,45,Yes,Yes,No,17,Yes,None,No,0
0023-HGHWL,1,Yes,No,No,9,Yes,None,No,0
0023-UYUPN,50,No,Yes,Yes,0,No,None,No,0
0023-XUOPT,13,Yes,Yes,Yes,52,Yes,None,Yes,1
0027-KWYKW,23,Yes,Yes,Yes,30,Yes,Offer D,Yes,1
0030-FNXPP,3,No,Yes,No,0,No,None,No,0
0031-PVLZI,4,No,Yes,No,0,No,Offer E,No,0
0032-PGELS,1,Yes,No,No,19,Yes,None,Yes,1
0036-IHMOT,55,Yes,Yes,No,57,No,None,Yes,10
0040-HALCW,54,No,Yes,No,0,No,None,Yes,3
0042-JVWOJ,26,No,Yes,No,0,No,Offer C,No,0
0042-RLHYP,69,No,Yes,No,0,No,None,Yes,5
0048-LUMLS,37,Yes,Yes,No,51,Yes,Offer C,Yes,1
0048-PIHNL,49,No,Yes,No,0,No,Offer B,Yes,5
0052-DCKON,66,Yes,Yes,Yes,41,Yes,None,Yes,9
0052-YNYOT,67,No,Yes,No,0,No,None,No,0
0056-EPFBG,20,Yes,No,No,22,Yes,None,Yes,4
0057-QBUQH,43,No,Yes,Yes,0,No,None,No,0
0058-EVZWM,55,Yes,Yes,Yes,9,Yes,Offer B,Yes,2
0060-FUALY,59,Yes,Yes,Yes,14,Yes,Offer B,Yes,4
0064-SUDOG,12,No,Yes,No,0,No,None,Yes,3
0064-YIJGF,27,Yes,Yes,Yes,23,Yes,Offer C,Yes,7
0067-DKWBL,2,Yes,Yes,No,27,Yes,None,No,0
0068-FIGTF,27,Yes,Yes,No,59,Yes,Offer C,No,0
0071-NDAFP,25,No,Yes,Yes,0,No,None,Yes,1
0074-HDKDG,25,Yes,Yes,No,19,Yes,None,Yes,5
0076-LVEPS,29,Yes,No,No,21,Yes,None,No,0
0078-XZMHT,72,Yes,Yes,Yes,52,Yes,None,Yes,5
0080-EMYVY,14,Yes,Yes,No,12,Yes,None,No,0
0080-OROZO,35,Yes,Yes,No,2,Yes,Offer C,No,0
0082-LDZUE,1,Yes,Yes,No,9,Yes,Offer E,No,0
0082-OQIQY,29,Yes,Yes,No,17,No,None,No,0
0083-PIVIK,64,Yes,Yes,Yes,69,No,None,No,0
0089-IIQKO,39,Yes,Yes,Yes,53,Yes,None,Yes,1
0093-EXYQL,40,Yes,Yes,No,23,Yes,None,No,0
0093-XWZFY,40,Yes,Yes,Yes,15,Yes,None,No,0
0094-OIFMO,11,Yes,Yes,No,29,No,Offer D,No,0
0096-BXERS,6,Yes,Yes,Yes,85,Yes,Offer E,Yes,10
0096-FCPUF,30,Yes,Yes,Yes,15,Yes,None,No,0
0098-BOWSO,27,No,Yes,No,0,No,None,No,0
0100-DUVFC,70,Yes,Yes,Yes,28,Yes,None,Yes,3
0103-CSITQ,57,Yes,Yes,Yes,73,Yes,Offer B,Yes,10
0104-PPXDV,58,Yes,Yes,No,18,Yes,None,Yes,10
0106-GHRQR,16,Yes,Yes,Yes,48,Yes,None,No,0
0106-UGRDO,69,Yes,Yes,Yes,27,Yes,Offer A,Yes,3
0107-WESLM,1,No,Yes,No,0,No,Offer E,No,0
0107-YHINA,1,Yes,Yes,Yes,25,Yes,None,No,0
0111-KLBQG,32,Yes,Yes,No,23,Yes,Offer C,Yes,9
0112-QAWRZ,16,Yes,Yes,Yes,12,Yes,Offer D,Yes,8
0112-QWPNC,49,Yes,Yes,Yes,10,Yes,Offer B,Yes,1
0114-IGABW,71,Yes,No,No,29,Yes,Offer A,Yes,2
0114-PEGZZ,33,Yes,Yes,Yes,12,Yes,None,No,0
0114-RSRRW,10,No,Yes,No,0,No,Offer D,Yes,9
0115-TFERT,21,Yes,Yes,Yes,59,No,None,Yes,1
0117-LFRMW,37,Yes,No,No,23,Yes,None,Yes,1
0118-JPNOY,26,Yes,Yes,No,7,Yes,None,No,0
0121-SNYRK,50,Yes,No,No,7,Yes,Offer B,No,0
0122-OAHPZ,7,Yes,Yes,Yes,26,Yes,None,No,0
0123-CRBRT,61,Yes,Yes,Yes,28,Yes,Offer B,Yes,1
0125-LZQXK,15,Yes,Yes,No,12,Yes,Offer D,No,0
0128-MKWSG,26,Yes,No,No,19,Yes,None,No,0
0129-KPTWJ,72,Yes,Yes,No,23,Yes,None,Yes,9
0129-QMPDR,44,No,Yes,No,0,No,None,Yes,1
0130-SXOUN,66,Yes,Yes,Yes,8,No,Offer A,No,0
0133-BMFZO,2,Yes,Yes,No,16,Yes,None,No,0
0134-XWXCE,44,Yes,Yes,No,17,Yes,None,No,0
0135-NMXAP,12,Yes,Yes,Yes,6,Yes,Offer D,No,0
0136-IFMYD,69,Yes,Yes,Yes,17,Yes,None,Yes,1
0137-OCGAB,1,Yes,Yes,Yes,69,Yes,Offer E,No,0
0137-UDEUO,3,No,Yes,No,0,No,Offer E,No,0
0139-IVFJG,2,Yes,Yes,No,53,Yes,None,Yes,10
0141-YEAYS,27,Yes,Yes,Yes,4,Yes,None,No,0
0142-GVYSN,26,No,Yes,No,0,No,Offer C,No,0
0147-ESWWR,39,Yes,Yes,Yes,21,Yes,None,Yes,9
0148-DCDOS,25,Yes,Yes,Yes,8,Yes,None,No,0
0151-ONTOV,1,Yes,Yes,No,23,Yes,Offer E,No,0
0156-FVPTA,22,Yes,Yes,No,21,Yes,Offer D,Yes,1
0164-APGRB,72,Yes,Yes,Yes,5,Yes,Offer A,No,0
0164-XAIRP,24,No,Yes,No,0,No,None,No,0
0168-XZKBB,19,Yes,Yes,Yes,16,Yes,None,Yes,8
0174-QRVVY,71,No,Yes,Yes,0,No,None,Yes,2
0177-PXBAT,33,Yes,Yes,Yes,20,Yes,None,Yes,7
0178-CIIKR,3,No,Yes,No,0,No,None,No,0
0178-SZBHO,47,Yes,Yes,Yes,13,Yes,None,Yes,7
0181-RITDD,62,Yes,Yes,No,20,Yes,None,Yes,2
0186-CAERR,71,Yes,Yes,Yes,48,Yes,None,No,0
0187-QSXOE,7,Yes,Yes,No,11,Yes,None,Yes,8
0187-WZNAB,27,Yes,Yes,No,28,Yes,Offer C,Yes,6
0188-GWFLE,2,No,Yes,No,0,No,None,No,0
0191-EQUUH,25,Yes,No,No,75,Yes,Offer C,No,0
0191-ZHSKZ,30,Yes,Yes,No,5,Yes,None,No,0
0193-ESZXP,58,Yes,Yes,No,19,Yes,None,Yes,1
0195-IESCP,10,Yes,Yes,Yes,82,No,Offer D,Yes,1
0196-JTUQI,9,Yes,Yes,Yes,28,Yes,None,No,0
0196-VULGZ,6,Yes,Yes,Yes,17,Yes,None,Yes,1
0197-PNKNK,69,Yes,Yes,Yes,16,No,None,Yes,7
0201-MIBOL,66,Yes,Yes,Yes,20,Yes,None,No,0
0201-OAMXR,70,Yes,Yes,Yes,52,Yes,Offer A,No,0
0203-HHYIJ,25,No,Yes,Yes,0,No,Offer C,No,0
0206-OYVOC,46,No,Yes,No,0,No,Offer B,Yes,1
0206-TBWLC,54,Yes,Yes,Yes,26,Yes,Offer B,Yes,7
0207-MDKNV,15,Yes,Yes,No,7,Yes,None,No,0
0208-BPQEJ,12,No,Yes,No,0,No,Offer D,No,0
0212-ISBBF,22,Yes,No,No,22,Yes,None,No,0
0214-JHPFW,70,Yes,No,No,85,Yes,None,Yes,9
0215-BQKGS,30,Yes,Yes,No,20,No,Offer C,No,0
0218-QNVAS,71,Yes,Yes,Yes,59,Yes,Offer A,Yes,1
0219-QAERP,30,No,Yes,No,0,No,None,Yes,2
0219-YTZUE,4,Yes,Yes,Yes,19,Yes,Offer E,Yes,5
0220-EBGCE,2,Yes,Yes,No,28,Yes,Offer E,No,0
0221-NAUXK,10,No,Yes,No,0,No,None,No,0
0221-WMXNQ,4,Yes,Yes,No,29,Yes,Offer E,No,0
0222-CNVPT,52,Yes,No,No,19,Yes,Offer B,No,0
0224-HJAPT,5,Yes,Yes,Yes,85,Yes,None,No,0
0224-NIJLP,8,No,Yes,No,0,No,Offer E,Yes,1
0224-RLWWD,2,Yes,Yes,No,22,Yes,Offer E,No,0
0225-ZORZP,3,Yes,Yes,No,26,Yes,Offer E,No,0
0228-MAUWC,19,Yes,Yes,Yes,18,Yes,Offer D,No,0
0229-LFJAF,72,Yes,Yes,Yes,13,Yes,Offer A,No,0
0230-UBYPQ,63,Yes,No,No,7,Yes,Offer B,Yes,2
0230-WEQUW,66,Yes,No,No,29,Yes,None,Yes,1
0231-LXVAP,1,Yes,Yes,No,27,Yes,None,No,0
0233-FTHAV,60,Yes,Yes,Yes,48,Yes,None,No,0
0234-TEVTT,48,Yes,No,No,22,Yes,None,Yes,3
0235-KGSLC,1,Yes,Yes,No,4,Yes,Offer E,No,0
0236-HFWSV,15,Yes,Yes,Yes,15,Yes,None,No,0
0237-YFUTL,50,Yes,Yes,Yes,13,Yes,Offer B,Yes,4
0238-WHBIQ,72,Yes,Yes,Yes,30,Yes,Offer A,Yes,10
0239-OXEXL,46,Yes,Yes,Yes,21,No,None,No,0
0244-LGNFY,72,Yes,Yes,Yes,19,Yes,None,Yes,4
0247-SLUJI,1,No,Yes,No,0,No,None,Yes,2
0248-IPDFW,1,Yes,Yes,Yes,51,Yes,None,No,0
0248-PGHBZ,67,Yes,Yes,No,21,Yes,Offer A,No,0
0253-ZTEOB,48,Yes,Yes,Yes,27,Yes,None,Yes,5
0254-FNMCI,72,Yes,Yes,No,73,Yes,None,No,0
0254-KCJGT,52,Yes,Yes,Yes,24,Yes,Offer B,Yes,6
0254-WWRKD,67,Yes,Yes,No,28,Yes,Offer A,Yes,1
0256-LTHVJ,28,Yes,Yes,No,13,Yes,Offer C,Yes,1
0257-KXZGU,32,Yes,Yes,Yes,51,Yes,Offer C,Yes,9
0257-ZESQC,27,Yes,Yes,No,25,Yes,None,Yes,2
0258-NOKBL,3,Yes,Yes,No,73,Yes,None,No,0
0259-GBZSH,2,Yes,Yes,Yes,27,Yes,Offer E,No,0
0260-ZDLGK,9,Yes,Yes,No,11,Yes,None,No,0
0263-FJTQO,50,Yes,Yes,Yes,28,Yes,Offer B,Yes,10
0264-CNITK,71,No,Yes,No,0,No,None,Yes,1
0265-EDXBD,32,Yes,Yes,Yes,10,Yes,Offer C,Yes,2
0265-PSUAE,16,Yes,Yes,No,76,Yes,Offer D,Yes,10
0266-CLZKZ,67,Yes,Yes,Yes,22,Yes,Offer A,Yes,8
0266-GMEAO,72,Yes,Yes,Yes,13,Yes,None,Yes,1
0268-QKIWO,3,No,Yes,No,0,No,Offer E,No,0
0269-XFESX,23,No,Yes,Yes,0,No,None,Yes,1
0270-THENM,72,Yes,Yes,Yes,18,Yes,None,Yes,1
0274-JKUJR,7,Yes,No,No,47,Yes,Offer E,Yes,9
0277-BKSQP,8,Yes,Yes,No,57,Yes,Offer E,Yes,10
0277-ORXQS,66,Yes,No,No,23,No,Offer A,Yes,9
0278-YXOOG,5,No,Yes,No,0,No,Offer E,No,0
0280-XJGEX,49,Yes,Yes,Yes,11,Yes,None,No,0
0281-CNTZX,63,No,Yes,No,0,No,Offer B,Yes,2
0282-NVSJS,12,Yes,No,No,14,Yes,Offer D,Yes,1
0285-INHLN,27,Yes,Yes,No,53,Yes,None,Yes,5
0289-IVARM,35,Yes,Yes,No,20,Yes,None,No,0
0292-WEGCH,54,Yes,Yes,Yes,12,Yes,Offer B,Yes,7
0295-PPHDO,1,Yes,Yes,Yes,2,Yes,None,No,0
0295-QVKPB,5,Yes,Yes,No,5,Yes,Offer E,No,0
0297-RBCSG,19,Yes,Yes,No,6,No,None,No,0
0298-XACET,52,Yes,No,No,17,Yes,None,Yes,1
0301-FIDRB,72,Yes,No,No,22,Yes,None,Yes,8
0301-KOBTQ,32,No,Yes,No,0,No,None,No,0
0302-JOIVN,8,Yes,Yes,No,6,Yes,None,Yes,1
0303-UNCIP,41,Yes,Yes,Yes,30,No,Offer B,No,0
0303-WMMRN,5,No,Yes,No,0,No,None,No,0
0305-SQECB,11,Yes,No,No,17,No,None,No,0
0306-JAELE,5,Yes,Yes,No,11,Yes,None,No,0
0307-BCOPK,16,No,Yes,No,0,No,Offer D,No,0
0308-GIQJT,71,Yes,Yes,Yes,9,Yes,None,No,0
0308-IVGOK,11,Yes,No,No,59,Yes,None,No,0
0310-MVLET,61,Yes,Yes,Yes,7,Yes,None,Yes,1
0310-SUCIN,71,Yes,Yes,No,6,Yes,None,Yes,2
0310-VQXAM,9,No,Yes,No,0,No,None,No,0
0311-QYWSS,6,Yes,Yes,No,8,Yes,None,No,0
0311-UNPFF,26,Yes,Yes,No,22,No,None,No,0
0314-TKOSI,6,Yes,Yes,No,30,No,Offer E,No,0
0315-LVCRK,11,Yes,Yes,No,15,Yes,None,No,0
0318-QUUOB,1,Yes,Yes,No,73,No,None,Yes,1
0318-ZOPWS,49,No,Yes,No,0,No,None,Yes,10
0319-QZTCO,3,Yes,Yes,No,51,Yes,Offer E,Yes,9
0320-DWVTU,53,Yes,Yes,No,13,Yes,Offer B,No,0
0320-JDNQG,23,Yes,Yes,No,27,Yes,None,Yes,1
0322-CHQRU,2,Yes,Yes,No,9,Yes,None,No,0
0322-YINQP,1,Yes,Yes,No,9,Yes,None,No,0
0323-XWWTN,3,No,Yes,Yes,0,No,None,No,0
0324-BRPCJ,68,Yes,Yes,Yes,24,Yes,None,Yes,1
0325-XBFAC,8,Yes,Yes,No,10,No,None,No,0
0326-VDYXE,70,Yes,Yes,Yes,26,No,Offer A,Yes,9
0327-WFZSY,39,Yes,Yes,Yes,75,Yes,Offer C,Yes,9
0328-GRPMV,1,Yes,Yes,No,25,Yes,None,No,0
0329-GTIAJ,3,Yes,Yes,No,7,Yes,None,No,0
0330-BGYZE,60,Yes,Yes,Yes,4,Yes,Offer B,Yes,8
0330-IVZHA,5,Yes,Yes,No,10,Yes,Offer E,Yes,1
0334-GDDSO,3,Yes,Yes,Yes,14,Yes,Offer E,No,0
0334-ZFJSR,55,Yes,Yes,Yes,13,No,None,No,0
0336-KXKFK,72,Yes,No,No,6,Yes,None,No,0
0336-PIKEI,72,Yes,Yes,No,9,No,Offer A,Yes,7
0337-CNPZE,41,Yes,Yes,Yes,22,No,None,No,0
0343-QLUZP,60,Yes,No,No,25,Yes,Offer B,No,0
0345-HKJVM,6,Yes,Yes,No,22,Yes,None,No,0
0345-XMMUG,46,Yes,Yes,Yes,48,Yes,None,Yes,6
0347-UBKUZ,15,No,Yes,No,0,No,None,No,0
0348-SDKOL,58,Yes,Yes,Yes,28,No,None,Yes,1
0354-VXMJC,23,No,Yes,No,0,No,None,Yes,10
0354-WYROK,31,Yes,Yes,No,21,Yes,Offer C,Yes,1
0356-ERHVT,11,Yes,Yes,No,6,Yes,Offer D,Yes,1
0356-OBMAC,56,Yes,Yes,Yes,16,Yes,None,No,0
0357-NVCRI,25,No,Yes,No,0,No,Offer C,No,0
